122nd Precinct,,
122sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),29,284
"Bus Lane, Driving in",7,76
Cell Phone,78,826
Commercial Veh on Pkwy,4,27
Defective Brakes,0,0
Disobey Sign,173,1489
Equipment (Other),16,165
Fail to Keep Right,0,9
Fail to Signal,58,496
Fail to Stop on Signal,22,329
Following Too Closely,3,24
Headlights (Defect. or Improper),20,178
Improper Lights,2,2
Improper Passing,0,11
Improper Turn,3,39
Improper/Missing Plates,27,130
Not Giving R of W to Pedes.,3,69
Not Giving R of W to Veh.,5,59
One Way Street,0,38
Pavement Markings,89,1209
Safety Belt,78,919
"School Bus, Passing Stopped",17,51
Speeding,136,1667
Spillback,0,5
Tinted Windows,32,469
Truck Routes,5,70
U-Turn,10,129
Uninspected,4,69
Uninsured,45,590
Unlicensed Operator,75,699
Unregistered,15,133
Unsafe Lane Change,9,60
Other Movers,168,1119
122    TOTAL Movers ,1133,11448
