Queens South,,
pbqssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,12,121
Brake Lights (Defect.or Improper),285,3205
"Bus Lane, Driving in",0,0
Cell Phone,644,7029
Commercial Veh on Pkwy,0,4
Defective Brakes,10,31
Disobey Sign,1377,11451
Equipment (Other),57,410
Fail to Keep Right,2,10
Fail to Signal,76,791
Fail to Stop on Signal,266,2742
Following Too Closely,2,27
Headlights (Defect. or Improper),251,2239
Improper Lights,44,403
Improper Passing,42,250
Improper Turn,673,6555
Improper/Missing Plates,22,201
Not Giving R of W to Pedes.,175,1734
Not Giving R of W to Veh.,18,227
One Way Street,10,176
Pavement Markings,168,1708
Safety Belt,1168,10790
"School Bus, Passing Stopped",87,191
Speeding,334,2555
Spillback,15,121
Tinted Windows,635,7693
Truck Routes,121,414
U-Turn,106,871
Uninspected,50,645
Uninsured,600,6226
Unlicensed Operator,675,6201
Unregistered,124,944
Unsafe Lane Change,12,120
Other Movers,533,4287
PBQS   TOTAL Movers ,8594,80372
