20th Precinct,,
020sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,6
Brake Lights (Defect.or Improper),4,119
"Bus Lane, Driving in",0,0
Cell Phone,183,1921
Commercial Veh on Pkwy,0,1
Defective Brakes,0,0
Disobey Sign,229,1717
Equipment (Other),3,85
Fail to Keep Right,0,1
Fail to Signal,22,206
Fail to Stop on Signal,61,598
Following Too Closely,0,1
Headlights (Defect. or Improper),2,95
Improper Lights,0,0
Improper Passing,0,2
Improper Turn,64,503
Improper/Missing Plates,0,6
Not Giving R of W to Pedes.,43,186
Not Giving R of W to Veh.,0,11
One Way Street,13,161
Pavement Markings,1,15
Safety Belt,95,756
"School Bus, Passing Stopped",23,67
Speeding,42,167
Spillback,0,0
Tinted Windows,18,122
Truck Routes,15,157
U-Turn,3,35
Uninspected,1,9
Uninsured,19,177
Unlicensed Operator,25,188
Unregistered,1,30
Unsafe Lane Change,6,53
Other Movers,29,369
020    TOTAL Movers ,903,7764
