"Moving Violations",,
"13th Precinct",,
September,,
013sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,7
"Brake Lights (Defect.or Improper)",13,101
"Bus Lane, Driving in",0,16
"Cell Phone",52,613
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,7
"Disobey Sign",185,1635
"Equipment (Other)",3,26
"Fail to Keep Right",0,1
"Fail to Signal",4,60
"Fail to Stop on Signal",63,626
"Following Too Closely",3,17
"Headlights (Defect. or Improper)",5,76
"Improper Lights",0,0
"Improper Passing",1,13
"Improper Turn",107,1217
"Improper/Missing Plates",0,10
"Not Giving R of W to Pedes.",34,306
"Not Giving R of W to Veh.",3,9
"One Way Street",4,107
"Pavement Markings",24,166
"Safety Belt",12,239
"School Bus, Passing Stopped",4,8
Speeding,6,66
Spillback,62,507
"Tinted Windows",3,63
"Truck Routes",2,24
U-Turn,0,6
Uninspected,0,5
Uninsured,20,275
"Unlicensed Operator",17,178
Unregistered,8,57
"Unsafe Lane Change",6,61
"Other Movers",45,314
"013    TOTAL Movers ",687,6816
"* All figures are preliminary and subject to change.",,
