90th Precinct,,
090sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,4
Brake Lights (Defect.or Improper),27,348
"Bus Lane, Driving in",0,0
Cell Phone,67,1205
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,32,449
Equipment (Other),0,3
Fail to Keep Right,0,2
Fail to Signal,28,163
Fail to Stop on Signal,79,704
Following Too Closely,0,6
Headlights (Defect. or Improper),4,172
Improper Lights,0,6
Improper Passing,7,37
Improper Turn,69,725
Improper/Missing Plates,0,27
Not Giving R of W to Pedes.,8,186
Not Giving R of W to Veh.,1,29
One Way Street,64,433
Pavement Markings,4,56
Safety Belt,107,1195
"School Bus, Passing Stopped",12,19
Speeding,30,253
Spillback,0,7
Tinted Windows,57,263
Truck Routes,0,37
U-Turn,1,15
Uninspected,1,23
Uninsured,86,871
Unlicensed Operator,41,372
Unregistered,6,61
Unsafe Lane Change,1,5
Other Movers,51,566
090    TOTAL Movers ,783,8242
