72nd Precinct,,
072sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,24
Brake Lights (Defect.or Improper),2,24
"Bus Lane, Driving in",0,0
Cell Phone,41,598
Commercial Veh on Pkwy,0,0
Defective Brakes,3,3
Disobey Sign,86,943
Equipment (Other),0,1
Fail to Keep Right,0,0
Fail to Signal,7,71
Fail to Stop on Signal,76,828
Following Too Closely,5,49
Headlights (Defect. or Improper),6,53
Improper Lights,0,2
Improper Passing,2,15
Improper Turn,12,296
Improper/Missing Plates,10,97
Not Giving R of W to Pedes.,24,264
Not Giving R of W to Veh.,4,56
One Way Street,7,39
Pavement Markings,48,554
Safety Belt,53,572
"School Bus, Passing Stopped",15,40
Speeding,13,285
Spillback,1,11
Tinted Windows,14,292
Truck Routes,5,36
U-Turn,18,215
Uninspected,5,31
Uninsured,28,391
Unlicensed Operator,46,542
Unregistered,10,140
Unsafe Lane Change,4,87
Other Movers,15,355
072    TOTAL Movers ,563,6914
