75th Precinct,,
075sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,44
Brake Lights (Defect.or Improper),11,230
"Bus Lane, Driving in",0,0
Cell Phone,75,1114
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,114,974
Equipment (Other),5,45
Fail to Keep Right,3,8
Fail to Signal,36,382
Fail to Stop on Signal,86,700
Following Too Closely,1,15
Headlights (Defect. or Improper),18,234
Improper Lights,0,4
Improper Passing,12,74
Improper Turn,49,516
Improper/Missing Plates,2,38
Not Giving R of W to Pedes.,27,262
Not Giving R of W to Veh.,1,48
One Way Street,6,26
Pavement Markings,81,714
Safety Belt,232,2357
"School Bus, Passing Stopped",33,54
Speeding,25,288
Spillback,7,34
Tinted Windows,163,2235
Truck Routes,0,12
U-Turn,0,16
Uninspected,8,202
Uninsured,103,898
Unlicensed Operator,148,1198
Unregistered,40,386
Unsafe Lane Change,5,30
Other Movers,369,3215
075    TOTAL Movers ,1665,16353
