"Moving Violations",,
"113th Precinct",,
September,,
113sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,13
"Brake Lights (Defect.or Improper)",68,679
"Bus Lane, Driving in",0,0
"Cell Phone",98,1032
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",53,735
"Equipment (Other)",32,205
"Fail to Keep Right",0,0
"Fail to Signal",5,70
"Fail to Stop on Signal",29,308
"Following Too Closely",0,8
"Headlights (Defect. or Improper)",73,386
"Improper Lights",0,4
"Improper Passing",1,30
"Improper Turn",184,1696
"Improper/Missing Plates",1,14
"Not Giving R of W to Pedes.",12,115
"Not Giving R of W to Veh.",1,17
"One Way Street",0,2
"Pavement Markings",15,90
"Safety Belt",115,959
"School Bus, Passing Stopped",7,22
Speeding,73,296
Spillback,1,7
"Tinted Windows",147,1330
"Truck Routes",21,88
U-Turn,1,6
Uninspected,10,82
Uninsured,117,907
"Unlicensed Operator",143,1146
Unregistered,52,328
"Unsafe Lane Change",0,4
"Other Movers",85,871
"113    TOTAL Movers ",1346,11450
"* All figures are preliminary and subject to change.",,
