"Moving Violations",,
"Transportation Bureau",,
September,,
cotsum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",12,166
"Brake Lights (Defect.or Improper)",53,467
"Bus Lane, Driving in",175,1485
"Cell Phone",671,7026
"Commercial Veh on Pkwy",97,904
"Defective Brakes",0,28
"Disobey Sign",1209,18593
"Equipment (Other)",399,4222
"Fail to Keep Right",4,9
"Fail to Signal",213,2229
"Fail to Stop on Signal",205,4052
"Following Too Closely",49,551
"Headlights (Defect. or Improper)",38,272
"Improper Lights",5,74
"Improper Passing",70,908
"Improper Turn",393,4747
"Improper/Missing Plates",27,328
"Not Giving R of W to Pedes.",373,2579
"Not Giving R of W to Veh.",27,259
"One Way Street",40,421
"Pavement Markings",255,2311
"Safety Belt",397,6747
"School Bus, Passing Stopped",5,622
Speeding,6217,54316
Spillback,18,479
"Tinted Windows",631,8439
"Truck Routes",5,75
U-Turn,2,11
Uninspected,87,906
Uninsured,199,1851
"Unlicensed Operator",408,3897
Unregistered,108,1003
"Unsafe Lane Change",53,631
"Other Movers",1692,14971
"TOTAL Movers ",14137,145579
*,,
"Transportation Bureau"," is a citywide unit whose activity is not tracked by Precinct.",
"* All figures are preliminary and subject to change.",,
