83rd Precinct,,
083sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,37
Brake Lights (Defect.or Improper),44,361
"Bus Lane, Driving in",0,0
Cell Phone,71,1134
Commercial Veh on Pkwy,0,0
Defective Brakes,0,5
Disobey Sign,282,2895
Equipment (Other),5,19
Fail to Keep Right,2,17
Fail to Signal,15,313
Fail to Stop on Signal,69,541
Following Too Closely,1,5
Headlights (Defect. or Improper),46,286
Improper Lights,0,12
Improper Passing,3,20
Improper Turn,20,257
Improper/Missing Plates,5,33
Not Giving R of W to Pedes.,9,130
Not Giving R of W to Veh.,1,12
One Way Street,22,80
Pavement Markings,5,73
Safety Belt,55,808
"School Bus, Passing Stopped",7,12
Speeding,6,39
Spillback,0,2
Tinted Windows,12,264
Truck Routes,4,40
U-Turn,0,2
Uninspected,2,24
Uninsured,49,583
Unlicensed Operator,128,1179
Unregistered,19,169
Unsafe Lane Change,0,11
Other Movers,39,132
083    TOTAL Movers ,922,9495
