"Moving Violations",,
"66th Precinct",,
September,,
066sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,5
"Brake Lights (Defect.or Improper)",3,56
"Bus Lane, Driving in",0,0
"Cell Phone",123,1138
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",91,860
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",38,580
"Fail to Stop on Signal",27,240
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,12
"Improper Lights",0,0
"Improper Passing",0,5
"Improper Turn",9,74
"Improper/Missing Plates",0,10
"Not Giving R of W to Pedes.",46,250
"Not Giving R of W to Veh.",1,4
"One Way Street",0,2
"Pavement Markings",0,1
"Safety Belt",191,1453
"School Bus, Passing Stopped",22,56
Speeding,22,226
Spillback,0,2
"Tinted Windows",38,494
"Truck Routes",8,189
U-Turn,0,16
Uninspected,1,40
Uninsured,53,422
"Unlicensed Operator",38,372
Unregistered,6,83
"Unsafe Lane Change",0,4
"Other Movers",52,494
"066    TOTAL Movers ",770,7088
"* All figures are preliminary and subject to change.",,
