"Moving Violations",,
"Brooklyn South",,
September,,
pbbssum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",26,289
"Brake Lights (Defect.or Improper)",119,1329
"Bus Lane, Driving in",43,315
"Cell Phone",1336,14767
"Commercial Veh on Pkwy",24,66
"Defective Brakes",7,17
"Disobey Sign",1427,14407
"Equipment (Other)",42,340
"Fail to Keep Right",6,19
"Fail to Signal",246,3034
"Fail to Stop on Signal",636,6875
"Following Too Closely",10,89
"Headlights (Defect. or Improper)",113,1178
"Improper Lights",72,716
"Improper Passing",57,694
"Improper Turn",363,5971
"Improper/Missing Plates",33,427
"Not Giving R of W to Pedes.",379,4133
"Not Giving R of W to Veh.",43,564
"One Way Street",45,417
"Pavement Markings",417,3958
"Safety Belt",1192,14281
"School Bus, Passing Stopped",190,383
Speeding,452,4071
Spillback,58,491
"Tinted Windows",803,9815
"Truck Routes",67,743
U-Turn,112,1181
Uninspected,56,665
Uninsured,587,6413
"Unlicensed Operator",587,6076
Unregistered,145,1371
"Unsafe Lane Change",17,321
"Other Movers",673,6116
"PBBS   TOTAL Movers ",10383,111532
"* All figures are preliminary and subject to change.",,
