"Moving Violations",,
"115th Precinct",,
September,,
115sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,25
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",62,774
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",146,1437
"Equipment (Other)",11,163
"Fail to Keep Right",1,1
"Fail to Signal",20,202
"Fail to Stop on Signal",85,742
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",0,8
"Improper Lights",69,1089
"Improper Passing",5,45
"Improper Turn",83,984
"Improper/Missing Plates",1,81
"Not Giving R of W to Pedes.",29,489
"Not Giving R of W to Veh.",1,24
"One Way Street",14,57
"Pavement Markings",2,61
"Safety Belt",154,1936
"School Bus, Passing Stopped",32,50
Speeding,15,211
Spillback,5,21
"Tinted Windows",46,1073
"Truck Routes",7,137
U-Turn,0,8
Uninspected,25,269
Uninsured,135,2084
"Unlicensed Operator",304,3609
Unregistered,21,250
"Unsafe Lane Change",0,2
"Other Movers",63,830
"115    TOTAL Movers ",1343,16666
"* All figures are preliminary and subject to change.",,
