102nd Precinct,,
102sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,10
Brake Lights (Defect.or Improper),8,243
"Bus Lane, Driving in",0,0
Cell Phone,68,980
Commercial Veh on Pkwy,0,0
Defective Brakes,10,16
Disobey Sign,178,1634
Equipment (Other),0,3
Fail to Keep Right,1,3
Fail to Signal,4,166
Fail to Stop on Signal,21,325
Following Too Closely,0,2
Headlights (Defect. or Improper),4,107
Improper Lights,17,92
Improper Passing,3,29
Improper Turn,28,423
Improper/Missing Plates,1,9
Not Giving R of W to Pedes.,29,294
Not Giving R of W to Veh.,3,28
One Way Street,1,14
Pavement Markings,4,131
Safety Belt,84,1007
"School Bus, Passing Stopped",17,24
Speeding,32,267
Spillback,0,15
Tinted Windows,26,328
Truck Routes,7,18
U-Turn,0,19
Uninspected,0,28
Uninsured,40,446
Unlicensed Operator,33,450
Unregistered,7,72
Unsafe Lane Change,7,56
Other Movers,50,454
102    TOTAL Movers ,683,7693
