"Moving Violations",,
"88th Precinct",,
September,,
088sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,11
"Brake Lights (Defect.or Improper)",14,144
"Bus Lane, Driving in",0,0
"Cell Phone",158,1640
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",135,1157
"Equipment (Other)",1,12
"Fail to Keep Right",0,0
"Fail to Signal",1,48
"Fail to Stop on Signal",29,571
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",26,245
"Improper Lights",0,0
"Improper Passing",0,5
"Improper Turn",6,67
"Improper/Missing Plates",1,20
"Not Giving R of W to Pedes.",11,86
"Not Giving R of W to Veh.",4,48
"One Way Street",1,22
"Pavement Markings",39,268
"Safety Belt",86,1054
"School Bus, Passing Stopped",6,10
Speeding,17,143
Spillback,7,10
"Tinted Windows",2,68
"Truck Routes",12,14
U-Turn,0,2
Uninspected,2,55
Uninsured,46,470
"Unlicensed Operator",24,246
Unregistered,11,96
"Unsafe Lane Change",0,1
"Other Movers",38,361
"088    TOTAL Movers ",678,6875
"* All figures are preliminary and subject to change.",,
