76th Precinct,,
076sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,21
Brake Lights (Defect.or Improper),5,35
"Bus Lane, Driving in",0,0
Cell Phone,72,925
Commercial Veh on Pkwy,0,1
Defective Brakes,1,1
Disobey Sign,32,284
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,3,92
Fail to Stop on Signal,34,205
Following Too Closely,0,3
Headlights (Defect. or Improper),7,36
Improper Lights,0,0
Improper Passing,0,4
Improper Turn,9,241
Improper/Missing Plates,3,17
Not Giving R of W to Pedes.,9,120
Not Giving R of W to Veh.,1,9
One Way Street,8,61
Pavement Markings,103,1312
Safety Belt,23,566
"School Bus, Passing Stopped",3,6
Speeding,8,167
Spillback,1,7
Tinted Windows,46,507
Truck Routes,1,4
U-Turn,0,5
Uninspected,1,9
Uninsured,10,123
Unlicensed Operator,7,160
Unregistered,0,36
Unsafe Lane Change,0,11
Other Movers,16,177
076    TOTAL Movers ,405,5145
