25th Precinct,,
025sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,27
Brake Lights (Defect.or Improper),32,327
"Bus Lane, Driving in",0,6
Cell Phone,106,1198
Commercial Veh on Pkwy,0,1
Defective Brakes,0,23
Disobey Sign,47,316
Equipment (Other),12,138
Fail to Keep Right,0,1
Fail to Signal,27,239
Fail to Stop on Signal,30,441
Following Too Closely,0,1
Headlights (Defect. or Improper),30,262
Improper Lights,0,4
Improper Passing,10,27
Improper Turn,148,1368
Improper/Missing Plates,10,73
Not Giving R of W to Pedes.,25,401
Not Giving R of W to Veh.,5,28
One Way Street,14,143
Pavement Markings,4,153
Safety Belt,125,1068
"School Bus, Passing Stopped",78,103
Speeding,29,130
Spillback,6,14
Tinted Windows,99,823
Truck Routes,12,213
U-Turn,52,357
Uninspected,8,41
Uninsured,69,392
Unlicensed Operator,34,357
Unregistered,12,129
Unsafe Lane Change,1,26
Other Movers,60,611
025    TOTAL Movers ,1089,9441
