"Moving Violations",,
"107th Precinct",,
September,,
107sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,10
"Brake Lights (Defect.or Improper)",28,559
"Bus Lane, Driving in",0,0
"Cell Phone",83,814
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",129,1330
"Equipment (Other)",0,16
"Fail to Keep Right",0,2
"Fail to Signal",10,65
"Fail to Stop on Signal",19,170
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",14,200
"Improper Lights",2,49
"Improper Passing",5,27
"Improper Turn",177,1773
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",17,122
"Not Giving R of W to Veh.",0,62
"One Way Street",0,11
"Pavement Markings",14,142
"Safety Belt",215,1876
"School Bus, Passing Stopped",14,26
Speeding,59,418
Spillback,0,4
"Tinted Windows",7,349
"Truck Routes",2,9
U-Turn,3,64
Uninspected,1,15
Uninsured,30,296
"Unlicensed Operator",59,575
Unregistered,2,28
"Unsafe Lane Change",0,2
"Other Movers",44,352
"107    TOTAL Movers ",937,9367
"* All figures are preliminary and subject to change.",,
