"Moving Violations",,
"48th Precinct",,
September,,
048sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,18
"Brake Lights (Defect.or Improper)",33,182
"Bus Lane, Driving in",15,67
"Cell Phone",60,630
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",53,600
"Equipment (Other)",6,29
"Fail to Keep Right",1,11
"Fail to Signal",15,333
"Fail to Stop on Signal",49,360
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",40,178
"Improper Lights",3,5
"Improper Passing",1,11
"Improper Turn",147,969
"Improper/Missing Plates",3,11
"Not Giving R of W to Pedes.",6,154
"Not Giving R of W to Veh.",2,16
"One Way Street",1,9
"Pavement Markings",18,183
"Safety Belt",24,417
"School Bus, Passing Stopped",5,19
Speeding,105,1454
Spillback,1,41
"Tinted Windows",26,914
"Truck Routes",7,31
U-Turn,8,62
Uninspected,1,16
Uninsured,23,196
"Unlicensed Operator",57,540
Unregistered,11,87
"Unsafe Lane Change",1,4
"Other Movers",32,184
"048    TOTAL Movers ",756,7737
"* All figures are preliminary and subject to change.",,
