"Moving Violations",,
"Manhattan South",,
September,,
pbmssum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",10,122
"Brake Lights (Defect.or Improper)",149,1905
"Bus Lane, Driving in",8,135
"Cell Phone",1116,12487
"Commercial Veh on Pkwy",1,3
"Defective Brakes",2,33
"Disobey Sign",1242,13934
"Equipment (Other)",28,452
"Fail to Keep Right",1,23
"Fail to Signal",174,1866
"Fail to Stop on Signal",638,6281
"Following Too Closely",7,54
"Headlights (Defect. or Improper)",110,2190
"Improper Lights",17,297
"Improper Passing",75,498
"Improper Turn",1232,13669
"Improper/Missing Plates",18,152
"Not Giving R of W to Pedes.",400,3834
"Not Giving R of W to Veh.",12,85
"One Way Street",60,740
"Pavement Markings",329,3307
"Safety Belt",770,9224
"School Bus, Passing Stopped",82,170
Speeding,89,733
Spillback,209,1778
"Tinted Windows",110,1709
"Truck Routes",45,432
U-Turn,34,438
Uninspected,3,129
Uninsured,281,2962
"Unlicensed Operator",213,2326
Unregistered,73,771
"Unsafe Lane Change",187,2043
"Other Movers",428,4663
"PBMS   TOTAL Movers ",8153,89445
"* All figures are preliminary and subject to change.",,
