Central Park Precinct,,
022sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),6,96
"Bus Lane, Driving in",2,3
Cell Phone,12,353
Commercial Veh on Pkwy,0,0
Defective Brakes,1,1
Disobey Sign,16,211
Equipment (Other),1,34
Fail to Keep Right,0,0
Fail to Signal,1,47
Fail to Stop on Signal,72,194
Following Too Closely,0,1
Headlights (Defect. or Improper),2,100
Improper Lights,0,0
Improper Passing,0,24
Improper Turn,96,784
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,121,440
Not Giving R of W to Veh.,0,1
One Way Street,22,52
Pavement Markings,22,206
Safety Belt,6,78
"School Bus, Passing Stopped",0,7
Speeding,18,162
Spillback,0,0
Tinted Windows,18,140
Truck Routes,1,2
U-Turn,0,3
Uninspected,3,54
Uninsured,19,118
Unlicensed Operator,11,94
Unregistered,4,29
Unsafe Lane Change,0,25
Other Movers,126,345
022    TOTAL Movers ,580,3605
