"Moving Violations",,
"49th Precinct",,
September,,
049sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,9
"Brake Lights (Defect.or Improper)",45,356
"Bus Lane, Driving in",0,2
"Cell Phone",72,503
"Commercial Veh on Pkwy",0,1
"Defective Brakes",5,24
"Disobey Sign",62,772
"Equipment (Other)",2,8
"Fail to Keep Right",0,0
"Fail to Signal",20,393
"Fail to Stop on Signal",15,154
"Following Too Closely",1,6
"Headlights (Defect. or Improper)",18,193
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",12,135
"Improper/Missing Plates",3,14
"Not Giving R of W to Pedes.",9,139
"Not Giving R of W to Veh.",0,16
"One Way Street",1,8
"Pavement Markings",27,323
"Safety Belt",95,882
"School Bus, Passing Stopped",8,33
Speeding,32,250
Spillback,0,1
"Tinted Windows",28,483
"Truck Routes",0,1
U-Turn,2,26
Uninspected,2,27
Uninsured,38,218
"Unlicensed Operator",47,471
Unregistered,11,71
"Unsafe Lane Change",5,22
"Other Movers",12,136
"049    TOTAL Movers ",573,5678
"* All figures are preliminary and subject to change.",,
