"Moving Violations",,
Citywide,,
September,,
citysum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",143,1507
"Brake Lights (Defect.or Improper)",1704,18352
"Bus Lane, Driving in",273,2246
"Cell Phone",7529,86470
"Commercial Veh on Pkwy",128,1062
"Defective Brakes",33,267
"Disobey Sign",11427,118454
"Equipment (Other)",721,7675
"Fail to Keep Right",27,243
"Fail to Signal",1418,16423
"Fail to Stop on Signal",4051,41563
"Following Too Closely",98,988
"Headlights (Defect. or Improper)",1396,16993
"Improper Lights",249,2995
"Improper Passing",412,3661
"Improper Turn",5539,57908
"Improper/Missing Plates",239,2647
"Not Giving R of W to Pedes.",2538,25348
"Not Giving R of W to Veh.",224,2513
"One Way Street",433,3986
"Pavement Markings",2391,23599
"Safety Belt",7155,81913
"School Bus, Passing Stopped",1118,3055
Speeding,9320,85102
Spillback,408,3653
"Tinted Windows",4636,55985
"Truck Routes",401,3771
U-Turn,507,5457
Uninspected,383,4962
Uninsured,3643,38522
"Unlicensed Operator",4469,44754
Unregistered,980,9722
"Unsafe Lane Change",416,4300
"Other Movers",5936,54489
"TOTAL Movers ",80345,830585
,,
"* All figures are preliminary and subject to change.",,
