33rd Precinct,,
033sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,20
Brake Lights (Defect.or Improper),19,251
"Bus Lane, Driving in",0,0
Cell Phone,59,766
Commercial Veh on Pkwy,0,6
Defective Brakes,0,2
Disobey Sign,61,409
Equipment (Other),0,17
Fail to Keep Right,0,3
Fail to Signal,6,109
Fail to Stop on Signal,27,292
Following Too Closely,0,4
Headlights (Defect. or Improper),9,86
Improper Lights,0,3
Improper Passing,1,2
Improper Turn,37,240
Improper/Missing Plates,2,32
Not Giving R of W to Pedes.,53,318
Not Giving R of W to Veh.,1,9
One Way Street,6,31
Pavement Markings,1,14
Safety Belt,63,557
"School Bus, Passing Stopped",4,21
Speeding,12,450
Spillback,1,5
Tinted Windows,10,119
Truck Routes,11,126
U-Turn,10,94
Uninspected,0,12
Uninsured,29,219
Unlicensed Operator,20,177
Unregistered,6,80
Unsafe Lane Change,4,22
Other Movers,53,541
033    TOTAL Movers ,508,5037
