47th Precinct,,
047sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,12
Brake Lights (Defect.or Improper),33,252
"Bus Lane, Driving in",0,0
Cell Phone,46,440
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,26,544
Equipment (Other),0,0
Fail to Keep Right,0,2
Fail to Signal,0,1
Fail to Stop on Signal,10,147
Following Too Closely,0,4
Headlights (Defect. or Improper),42,284
Improper Lights,0,0
Improper Passing,0,11
Improper Turn,53,561
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,9,125
Not Giving R of W to Veh.,1,17
One Way Street,0,2
Pavement Markings,0,29
Safety Belt,79,876
"School Bus, Passing Stopped",15,38
Speeding,30,289
Spillback,0,0
Tinted Windows,30,394
Truck Routes,0,6
U-Turn,0,0
Uninspected,3,101
Uninsured,71,826
Unlicensed Operator,32,422
Unregistered,21,268
Unsafe Lane Change,0,10
Other Movers,23,237
047    TOTAL Movers ,526,5898
