108th Precinct,,
108sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,19
Brake Lights (Defect.or Improper),3,180
"Bus Lane, Driving in",0,0
Cell Phone,107,1130
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,147,2035
Equipment (Other),2,32
Fail to Keep Right,0,3
Fail to Signal,3,36
Fail to Stop on Signal,55,482
Following Too Closely,0,2
Headlights (Defect. or Improper),4,72
Improper Lights,0,0
Improper Passing,1,12
Improper Turn,101,1207
Improper/Missing Plates,2,3
Not Giving R of W to Pedes.,87,421
Not Giving R of W to Veh.,2,5
One Way Street,6,30
Pavement Markings,0,14
Safety Belt,109,900
"School Bus, Passing Stopped",7,17
Speeding,44,415
Spillback,1,18
Tinted Windows,18,347
Truck Routes,0,111
U-Turn,0,3
Uninspected,4,40
Uninsured,34,493
Unlicensed Operator,46,529
Unregistered,2,58
Unsafe Lane Change,1,11
Other Movers,64,734
108    TOTAL Movers ,850,9359
