Midtown South Precinct,,
014sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,26
Brake Lights (Defect.or Improper),6,313
"Bus Lane, Driving in",5,7
Cell Phone,307,2402
Commercial Veh on Pkwy,0,0
Defective Brakes,0,11
Disobey Sign,269,3007
Equipment (Other),0,12
Fail to Keep Right,0,3
Fail to Signal,49,309
Fail to Stop on Signal,95,537
Following Too Closely,0,1
Headlights (Defect. or Improper),5,766
Improper Lights,0,6
Improper Passing,0,0
Improper Turn,256,2368
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,149,1345
Not Giving R of W to Veh.,2,8
One Way Street,26,115
Pavement Markings,31,146
Safety Belt,153,1807
"School Bus, Passing Stopped",1,3
Speeding,8,57
Spillback,113,821
Tinted Windows,16,316
Truck Routes,39,208
U-Turn,24,266
Uninspected,0,16
Uninsured,77,839
Unlicensed Operator,45,425
Unregistered,27,182
Unsafe Lane Change,31,204
Other Movers,121,895
014    TOTAL Movers ,1858,17424
