77th Precinct,,
077sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,6,32
Brake Lights (Defect.or Improper),54,728
"Bus Lane, Driving in",2,18
Cell Phone,75,852
Commercial Veh on Pkwy,0,0
Defective Brakes,0,30
Disobey Sign,176,1402
Equipment (Other),0,0
Fail to Keep Right,1,4
Fail to Signal,14,169
Fail to Stop on Signal,70,698
Following Too Closely,1,9
Headlights (Defect. or Improper),83,1226
Improper Lights,0,0
Improper Passing,4,34
Improper Turn,11,357
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,11,229
Not Giving R of W to Veh.,1,27
One Way Street,10,64
Pavement Markings,13,125
Safety Belt,63,628
"School Bus, Passing Stopped",11,25
Speeding,163,1004
Spillback,2,34
Tinted Windows,36,670
Truck Routes,1,14
U-Turn,2,98
Uninspected,5,63
Uninsured,62,693
Unlicensed Operator,56,518
Unregistered,16,164
Unsafe Lane Change,2,11
Other Movers,77,844
077    TOTAL Movers ,1028,10771
