"Moving Violations",,
"Queens North",,
"     May ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",6,23
"Bike Lane",7,15
"Bus Lane",24,46
"Cell Phone",633,2997
"Commercial Veh on Pkwy",2,4
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",1920,9973
"Driving Too Slow",0,3
Equipment,276,994
"Equipment (Other)",1,3
"Excessive Noise",0,1
"Fail to Keep Right",2,17
"Fail to yield Right of Way to Pedestrian",694,3927
"Failure to Signal",101,493
"Following Too Closely",3,9
"Improper Passing",31,115
"Improper Taxi Pickup",0,1
"Improper Turn",440,2094
"Improper/Missing Plates",14,34
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",12,43
"Not Giving R of W to Veh.",13,62
"Obstructed Plate",45,302
"One Way Street",24,99
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,2
"Red Light",624,3185
"School Bus",15,102
"Scooter In NYC",0,0
"Seat Belt",1356,5024
Speeding,764,4639
Spillback,4,45
"TBTA Rule",0,0
Tints,416,2344
"TLC (Other)",0,0
"Truck Route",23,105
Uninspected,31,152
Uninsured,87,394
"Unlicensed Operator",633,2995
Unregistered,95,324
"Unsafe Lane Change",11,37
"Other Movers",804,4147
"PBQNTOTAL Movers ",9111,44751
"* All figures are preliminary and subject to change.",,
