Staten Island,,
     May ,,
"","",""
Backing Unsafely,6,21
Bike Lane,0,0
Bus Lane,16,21
Cell Phone,316,1207
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,1061,5166
Driving Too Slow,0,2
Equipment,97,591
Equipment (Other),1,2
Excessive Noise,0,0
Fail to Keep Right,0,2
Fail to yield Right of Way to Pedestrian,156,679
Failure to Signal,241,1367
Following Too Closely,5,23
Improper Passing,9,65
Improper Taxi Pickup,0,0
Improper Turn,104,437
Improper/Missing Plates,9,40
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),4,5
Not Giving R of W to Veh.,19,76
Obstructed Plate,62,320
One Way Street,19,93
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,4
Red Light,317,1528
School Bus,62,193
Scooter In NYC,0,0
Seat Belt,793,2520
Speeding,752,3749
Spillback,5,6
TBTA Rule,0,0
Tints,222,1383
TLC (Other),0,0
Truck Route,0,0
Uninspected,36,172
Uninsured,106,680
Unlicensed Operator,458,1949
Unregistered,78,295
Unsafe Lane Change,37,222
Other Movers,622,2748
PBSITOTAL Movers ,5613,25567
