Citywide,,
     May ,,
"","",""
Backing Unsafely,85,460
Bike Lane,58,189
Bus Lane,1129,5107
Cell Phone,4847,23051
Commercial Veh on Pkwy,204,1315
Cruising For Passengers,0,6
Disobey Traffic Control Device,18004,96949
Driving Too Slow,4,23
Equipment,3383,17277
Equipment (Other),10,22
Excessive Noise,0,3
Fail to Keep Right,10,58
Fail to yield Right of Way to Pedestrian,5398,25183
Failure to Signal,1898,10545
Following Too Closely,89,433
Improper Passing,246,1072
Improper Taxi Pickup,335,1861
Improper Turn,8348,40620
Improper/Missing Plates,174,605
Lamps and Other Equipment on Bicycle,11,45
Motorcycle (Other),258,644
Not Giving R of W to Veh.,129,750
Obstructed Plate,789,3874
One Way Street,582,2606
Overheight,1,15
Overlength,5,77
Overweight,16,289
Overwidth,0,26
Pavement Markings,30,128
Red Light,6346,31216
School Bus,227,1567
Scooter In NYC,2,5
Seat Belt,10897,38049
Speeding,13159,68291
Spillback,614,3865
TBTA Rule,0,0
Tints,5255,34250
TLC (Other),1,2
Truck Route,193,1224
Uninspected,401,2015
Uninsured,1348,7118
Unlicensed Operator,4846,23588
Unregistered,1165,4955
Unsafe Lane Change,536,2368
Other Movers,8869,41646
CitywideTOTAL Movers ,99902,493392
