"Moving Violations",,
Bronx,,
"     May ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",13,82
"Bike Lane",6,10
"Bus Lane",34,147
"Cell Phone",910,3916
"Commercial Veh on Pkwy",3,6
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",2582,13620
"Driving Too Slow",0,2
Equipment,594,2851
"Equipment (Other)",0,3
"Excessive Noise",0,0
"Fail to Keep Right",7,11
"Fail to yield Right of Way to Pedestrian",772,3564
"Failure to Signal",210,1210
"Following Too Closely",1,19
"Improper Passing",23,110
"Improper Taxi Pickup",1,9
"Improper Turn",1225,6566
"Improper/Missing Plates",44,123
"Lamps and Other Equipment on Bicycle",4,5
"Motorcycle (Other)",9,22
"Not Giving R of W to Veh.",23,105
"Obstructed Plate",119,551
"One Way Street",38,168
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",7,24
"Red Light",746,3753
"School Bus",65,289
"Scooter In NYC",1,1
"Seat Belt",1307,4331
Speeding,1337,6738
Spillback,15,195
"TBTA Rule",0,0
Tints,722,4685
"TLC (Other)",0,0
"Truck Route",12,108
Uninspected,45,165
Uninsured,293,1501
"Unlicensed Operator",887,3951
Unregistered,250,1024
"Unsafe Lane Change",88,367
"Other Movers",1045,3808
"PBBXTOTAL Movers ",13438,64040
"* All figures are preliminary and subject to change.",,
