"Moving Violations",,
"Manhattan North",,
September,,
pbmnsum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",16,100
"Brake Lights (Defect.or Improper)",75,1043
"Bus Lane, Driving in",8,94
"Cell Phone",1238,9562
"Commercial Veh on Pkwy",1,16
"Defective Brakes",0,15
"Disobey Steady Red Signal",796,6441
"Disobey Traffic Control Device",1645,14163
"Equipment (Other)",150,968
"Fail to Keep Right",4,43
"Fail to Signal",121,1536
"Following Too Closely",2,13
"Headlights (Defect. or Improper)",61,934
"Improper Lights",3,13
"Improper Passing",23,116
"Improper Turn",1326,11998
"Improper/Missing Plates",40,260
"Not Giving R of W to Pedes.",461,4907
"Not Giving R of W to Veh.",24,199
"One Way Street",57,616
"Pavement Markings",84,1167
"Safety Belt",621,4691
"School Bus, Passing Stopped",82,349
Speeding,455,4016
Spillback,5,62
"Tinted Windows",143,1985
"Truck Routes",70,744
U-Turn,46,678
Uninspected,26,205
Uninsured,192,1864
"Unlicensed Operator",293,2663
Unregistered,79,662
"Unsafe Lane Change",40,419
"Other Movers",552,3866
"PBMNTOTAL Movers ",8739,76408
,,
"* All figures are preliminary and subject to change.",,
