"Moving Violations",,
"Brooklyn North",,
September,,
pbbnsum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",16,206
"Brake Lights (Defect.or Improper)",151,2230
"Bus Lane, Driving in",2,136
"Cell Phone",760,8291
"Commercial Veh on Pkwy",1,8
"Defective Brakes",1,11
"Disobey Steady Red Signal",658,6566
"Disobey Traffic Control Device",1431,14791
"Equipment (Other)",29,323
"Fail to Keep Right",4,42
"Fail to Signal",283,2658
"Following Too Closely",6,58
"Headlights (Defect. or Improper)",186,2451
"Improper Lights",0,12
"Improper Passing",35,450
"Improper Turn",371,4624
"Improper/Missing Plates",13,216
"Not Giving R of W to Pedes.",212,2044
"Not Giving R of W to Veh.",96,586
"One Way Street",70,720
"Pavement Markings",65,937
"Safety Belt",834,9411
"School Bus, Passing Stopped",51,154
Speeding,414,3223
Spillback,9,94
"Tinted Windows",463,7366
"Truck Routes",26,222
U-Turn,13,181
Uninspected,14,315
Uninsured,347,3582
"Unlicensed Operator",514,5322
Unregistered,109,1317
"Unsafe Lane Change",7,97
"Other Movers",740,6847
"PBBNTOTAL Movers ",7931,85491
,,
"* All figures are preliminary and subject to change.",,
