47th Precinct,,
Backing Unsafely,0,5
Brake Lights (Defect.or  Improper),25,203
"Bus Lane, Driving in",0,0
Cell Phone,43,413
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,17,466
Equipment (Other),0,0
Fail to Keep Right,0,3
Fail to Signal,0,15
Fail to Stop on Signal,8,96
Following Too Closely,2,4
Headlights (Defect. or Improper),39,309
Improper Lights,0,0
Improper Passing,0,5
Improper Turn,45,345
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,2,57
Not Giving R of W to Veh.,0,3
One Way Street,0,3
Pavement Markings,6,108
Safety Belt,85,945
"School Bus, Passing Stopped",1,24
Speeding,30,170
Spillback,0,0
Tinted Windows,33,393
Truck Routes,4,11
U-Turn,0,0
Uninspected,11,83
Uninsured,94,839
Unlicensed Operator,59,454
Unregistered,29,197
Unsafe Lane Change,0,2
Other Movers,12,843
TOTAL Movers,545,5996
