104th Precinct,,
December ,,
"","",""
Backing Unsafely,0,14
Bike Lane,1,18
Bus Lane,6,67
Cell Phone,24,807
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,155,1826
Driving Too Slow,0,3
Equipment,11,584
Equipment (Other),1,1
Excessive Noise,0,0
Fail to Keep Right,0,8
Fail to yield Right of Way to Pedestrian,55,562
Failure to Signal,2,86
Following Too Closely,1,2
Improper Passing,0,49
Improper Taxi Pickup,0,0
Improper Turn,28,515
Improper/Missing Plates,1,18
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,4
Not Giving R of W to Veh.,2,15
Obstructed Plate,7,186
One Way Street,1,18
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,48,747
School Bus,0,9
Scooter In NYC,0,0
Seat Belt,38,1201
Speeding,93,1404
Spillback,0,32
TBTA Rule,0,0
Tints,115,1335
TLC (Other),0,0
Truck Route,2,69
Uninspected,4,112
Uninsured,14,184
Unlicensed Operator,59,1238
Unregistered,13,275
Unsafe Lane Change,0,15
Other Movers,59,1351
104TOTAL Movers ,740,12757
