Staten Island,,
December ,,
"","",""
Backing Unsafely,1,42
Bike Lane,1,5
Bus Lane,14,142
Cell Phone,137,2605
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,747,11055
Driving Too Slow,0,3
Equipment,70,1175
Equipment (Other),1,4
Excessive Noise,0,0
Fail to Keep Right,0,5
Fail to yield Right of Way to Pedestrian,56,1328
Failure to Signal,150,2580
Following Too Closely,4,41
Improper Passing,8,139
Improper Taxi Pickup,0,0
Improper Turn,108,1133
Improper/Missing Plates,5,75
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),0,18
Not Giving R of W to Veh.,13,152
Obstructed Plate,61,726
One Way Street,10,197
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,4
Red Light,191,3444
School Bus,23,326
Scooter In NYC,0,0
Seat Belt,305,5922
Speeding,524,7739
Spillback,1,17
TBTA Rule,0,0
Tints,170,2816
TLC (Other),0,0
Truck Route,0,1
Uninspected,14,313
Uninsured,84,1331
Unlicensed Operator,310,4289
Unregistered,40,661
Unsafe Lane Change,19,386
Other Movers,400,6293
PBSITOTAL Movers ,3467,54969
