Bronx,,
December ,,
"","",""
Backing Unsafely,19,216
Bike Lane,4,28
Bus Lane,56,337
Cell Phone,417,8290
Commercial Veh on Pkwy,2,26
Cruising For Passengers,0,0
Disobey Traffic Control Device,2208,29853
Driving Too Slow,1,5
Equipment,365,5758
Equipment (Other),0,5
Excessive Noise,0,1
Fail to Keep Right,2,29
Fail to yield Right of Way to Pedestrian,528,7030
Failure to Signal,133,2389
Following Too Closely,3,55
Improper Passing,14,248
Improper Taxi Pickup,3,19
Improper Turn,944,14346
Improper/Missing Plates,15,291
Lamps and Other Equipment on Bicycle,0,9
Motorcycle (Other),0,64
Not Giving R of W to Veh.,8,230
Obstructed Plate,110,1362
One Way Street,27,425
Overheight,0,3
Overlength,0,3
Overweight,0,1
Overwidth,0,0
Pavement Markings,1,53
Red Light,641,8396
School Bus,20,465
Scooter In NYC,0,4
Seat Belt,421,9067
Speeding,846,14347
Spillback,7,250
TBTA Rule,0,0
Tints,587,8983
TLC (Other),0,0
Truck Route,15,212
Uninspected,19,386
Uninsured,218,3123
Unlicensed Operator,665,9036
Unregistered,169,2346
Unsafe Lane Change,33,790
Other Movers,584,9543
PBBXTOTAL Movers ,9085,138024
