Transportation Bureau,,
December ,,
"","",""
Backing Unsafely,6,133
Bike Lane,6,53
Bus Lane,178,5751
Cell Phone,171,4200
Commercial Veh on Pkwy,259,3088
Cruising For Passengers,0,1
Disobey Traffic Control Device,2111,35255
Driving Too Slow,0,16
Equipment,339,11731
Equipment (Other),1,27
Excessive Noise,0,1
Fail to Keep Right,0,4
Fail to yield Right of Way to Pedestrian,37,1750
Failure to Signal,327,4106
Following Too Closely,50,715
Improper Passing,29,490
Improper Taxi Pickup,59,2971
Improper Turn,490,13413
Improper/Missing Plates,12,275
Lamps and Other Equipment on Bicycle,0,7
Motorcycle (Other),2,916
Not Giving R of W to Veh.,12,289
Obstructed Plate,88,1768
One Way Street,107,1383
Overheight,6,39
Overlength,3,143
Overweight,7,840
Overwidth,0,94
Pavement Markings,13,106
Red Light,159,2504
School Bus,1,462
Scooter In NYC,0,0
Seat Belt,215,12094
Speeding,4890,83679
Spillback,397,6934
TBTA Rule,0,1
Tints,489,22603
TLC (Other),0,1
Truck Route,43,630
Uninspected,51,1339
Uninsured,78,2062
Unlicensed Operator,470,7651
Unregistered,162,2371
Unsafe Lane Change,137,2123
Other Movers,993,18415
TCDTOTAL Movers ,12398,252434
