Manhattan North,,
December ,,
"","",""
Backing Unsafely,7,139
Bike Lane,2,36
Bus Lane,118,483
Cell Phone,307,5028
Commercial Veh on Pkwy,0,15
Cruising For Passengers,0,0
Disobey Traffic Control Device,1955,25947
Driving Too Slow,0,0
Equipment,118,3416
Equipment (Other),0,4
Excessive Noise,0,0
Fail to Keep Right,1,11
Fail to yield Right of Way to Pedestrian,777,10207
Failure to Signal,44,903
Following Too Closely,1,17
Improper Passing,7,121
Improper Taxi Pickup,3,107
Improper Turn,1262,19947
Improper/Missing Plates,1,115
Lamps and Other Equipment on Bicycle,0,39
Motorcycle (Other),1,67
Not Giving R of W to Veh.,7,112
Obstructed Plate,40,831
One Way Street,34,483
Overheight,0,1
Overlength,0,10
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,4
Red Light,789,11512
School Bus,5,246
Scooter In NYC,0,1
Seat Belt,384,7038
Speeding,444,8728
Spillback,3,83
TBTA Rule,0,0
Tints,275,3577
TLC (Other),6,6
Truck Route,4,269
Uninspected,5,272
Uninsured,31,705
Unlicensed Operator,219,3443
Unregistered,22,569
Unsafe Lane Change,11,173
Other Movers,352,6796
PBMNTOTAL Movers ,7235,111461
