30th Precinct,,
December ,,
"","",""
Backing Unsafely,0,8
Bike Lane,0,1
Bus Lane,0,0
Cell Phone,59,344
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,153,1727
Driving Too Slow,0,0
Equipment,4,117
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,64,917
Failure to Signal,1,53
Following Too Closely,0,2
Improper Passing,0,1
Improper Taxi Pickup,0,0
Improper Turn,55,609
Improper/Missing Plates,0,5
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),0,1
Not Giving R of W to Veh.,3,13
Obstructed Plate,2,37
One Way Street,2,15
Overheight,0,0
Overlength,0,7
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,77,791
School Bus,0,20
Scooter In NYC,0,0
Seat Belt,52,287
Speeding,30,989
Spillback,1,2
TBTA Rule,0,0
Tints,34,273
TLC (Other),0,0
Truck Route,0,6
Uninspected,0,4
Uninsured,2,48
Unlicensed Operator,15,232
Unregistered,0,26
Unsafe Lane Change,0,7
Other Movers,22,267
030TOTAL Movers ,576,6812
