
"122nd Precinct",,
"December ",,
"","",""
"Backing Unsafely",0,17
"Bike Lane",0,0
"Bus Lane",7,64
"Cell Phone",33,880
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",276,3592
"Driving Too Slow",0,1
Equipment,16,271
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,3
"Fail to yield Right of Way to Pedestrian",12,417
"Failure to Signal",59,668
"Following Too Closely",1,9
"Improper Passing",1,13
"Improper Taxi Pickup",0,0
"Improper Turn",73,692
"Improper/Missing Plates",3,20
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,14
"Not Giving R of W to Veh.",4,59
"Obstructed Plate",45,406
"One Way Street",4,101
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",29,570
"School Bus",5,146
"Scooter In NYC",0,0
"Seat Belt",81,1589
Speeding,130,2226
Spillback,1,14
"TBTA Rule",0,0
Tints,32,228
"TLC (Other)",0,0
"Truck Route",0,1
Uninspected,4,101
Uninsured,23,315
"Unlicensed Operator",93,1095
Unregistered,14,239
"Unsafe Lane Change",10,162
"Other Movers",119,2288
"122TOTAL Movers ",1075,16204

