
"Brooklyn South",,
"December ",,
"","",""
"Backing Unsafely",15,118
"Bike Lane",1,35
"Bus Lane",53,240
"Cell Phone",510,8805
"Commercial Veh on Pkwy",4,153
"Cruising For Passengers",0,1
"Disobey Traffic Control Device",1714,23487
"Driving Too Slow",0,2
Equipment,186,3089
"Equipment (Other)",3,5
"Excessive Noise",0,0
"Fail to Keep Right",2,14
"Fail to yield Right of Way to Pedestrian",806,9480
"Failure to Signal",176,2917
"Following Too Closely",4,43
"Improper Passing",36,449
"Improper Taxi Pickup",2,13
"Improper Turn",474,6017
"Improper/Missing Plates",15,167
"Lamps and Other Equipment on Bicycle",0,14
"Motorcycle (Other)",5,224
"Not Giving R of W to Veh.",15,235
"Obstructed Plate",82,1218
"One Way Street",17,524
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,9
"Red Light",848,11357
"School Bus",24,346
"Scooter In NYC",0,9
"Seat Belt",633,12859
Speeding,631,9969
Spillback,8,123
"TBTA Rule",0,0
Tints,469,7883
"TLC (Other)",0,0
"Truck Route",26,323
Uninspected,33,510
Uninsured,165,2168
"Unlicensed Operator",448,6777
Unregistered,114,1443
"Unsafe Lane Change",31,318
"Other Movers",740,11834
"PBBSTOTAL Movers ",8290,123178

