32nd Precinct,,
Backing Unsafely,4,32
Brake Lights (Defect.or  Improper),17,166
"Bus Lane, Driving in",0,0
Cell Phone,81,639
Commercial Veh on Pkwy,0,0
Defective Brakes,4,22
Disobey Sign,60,415
Equipment (Other),18,42
Fail to Keep Right,0,0
Fail to Signal,95,372
Fail to Stop on Signal,18,116
Following Too Closely,0,5
Headlights (Defect. or Improper),44,269
Improper Lights,0,2
Improper Passing,1,4
Improper Turn,37,168
Improper/Missing Plates,3,15
Not Giving R of W to Pedes.,4,81
Not Giving R of W to Veh.,3,13
One Way Street,1,8
Pavement Markings,73,614
Safety Belt,76,511
"School Bus, Passing Stopped",0,4
Speeding,2,99
Spillback,0,2
Tinted Windows,84,489
Truck Routes,3,32
U-Turn,9,123
Uninspected,14,33
Uninsured,91,636
Unlicensed Operator,40,225
Unregistered,14,92
Unsafe Lane Change,3,35
Other Movers,29,198
TOTAL Movers,828,5462
