110th Precinct,,
Backing Unsafely,1,7
Brake Lights (Defect.or Improper),6,30
"Bus Lane, Driving in",0,0
Cell Phone,68,1421
Commercial Veh on Pkwy,0,0
Defective Brakes,0,2
Disobey Steady Red Signal,49,459
Disobey Traffic Control Device,157,2073
Equipment (Other),1,25
Fail to Keep Right,0,1
Fail to Signal,16,260
Following Too Closely,0,0
Headlights (Defect. or Improper),10,34
Improper Lights,0,8
Improper Passing,0,16
Improper Turn,4,92
Improper/Missing Plates,5,27
Not Giving R of W to Pedes.,152,1049
Not Giving R of W to Veh.,2,21
OBSTRUCTED PLATE,11,12
One Way Street,5,179
Pavement Markings,4,77
Safety Belt,100,2079
"School Bus, Passing Stopped",14,164
Speeding,159,939
Spillback,0,7
Tinted Windows,16,218
Truck Routes,5,57
U-Turn,1,2
Uninspected,1,19
Uninsured,7,117
Unlicensed Operator,101,1231
Unregistered,6,104
Unsafe Lane Change,2,16
Other Movers,32,595
TOTAL Movers,935,11341
