120th Precinct,,
Backing Unsafely,2,12
Brake Lights (Defect.or  Improper),91,323
"Bus Lane, Driving in",0,0
Cell Phone,175,720
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,51,249
Equipment (Other),40,188
Fail to Keep Right,6,7
Fail to Signal,47,148
Fail to Stop on Signal,50,235
Following Too Closely,3,6
Headlights (Defect. or Improper),57,316
Improper Lights,0,0
Improper Passing,2,17
Improper Turn,8,33
Improper/Missing Plates,21,74
Not Giving R of W to Pedes.,3,10
Not Giving R of W to Veh.,3,9
One Way Street,4,23
Pavement Markings,68,198
Safety Belt,216,719
"School Bus, Passing Stopped",11,28
Speeding,91,292
Spillback,2,3
Tinted Windows,119,479
Truck Routes,0,0
U-Turn,1,8
Uninspected,16,122
Uninsured,122,442
Unlicensed Operator,239,804
Unregistered,72,168
Unsafe Lane Change,2,8
Other Movers,88,295
TOTAL Movers,1610,5936
