Patrol Bureau,,
"","",""
Backing Unsafely,39,488
Bike Lane,235,1272
Bus Lane,116,2332
Cell Phone,2404,27806
Commercial Veh on Pkwy,7,183
Cruising For Passengers,2,11
Disobey Traffic Control Device,9177,121966
Driving Too Slow,0,14
Equipment,1620,16161
Equipment (Other),2,48
Excessive Noise,0,1
Fail to Keep Right,5,70
Fail to yield Right of Way to Pedestrian,12270,50340
Failure to Signal,814,10417
Failure to yield Right of Way to Vehicle,6,61
Following Too Closely,28,214
Improper Passing,216,1719
Improper Taxi Pickup,11,172
Improper Turn,4602,53527
Improper/Missing Plates,84,792
Lamps and Other Equipment on Bicycle,8,91
Motorcycle (Other),98,1066
Not Giving R of W to Veh.,78,805
Obstructed Plate,423,5201
One Way Street,216,2777
Overheight,0,2
Overlength,1,5
Overweight,1,2
Overwidth,0,0
Pavement Markings,17,144
Red Light,4386,51032
School Bus,351,1633
Scooter In NYC,4,51
Seat Belt,3996,49018
Speeding,5845,53397
Spillback,21,365
TBTA Rule,0,2
Tints,1552,23800
TLC (Other),1,36
Truck Route,37,885
Uninspected,189,1649
Uninsured,625,7430
Unlicensed Operator,2965,32587
Unregistered,691,6865
Unsafe Lane Change,130,1735
Other Movers,4911,57434
PATROLTOTAL Movers ,58184,585606
