Transportation Bureau,,
"","",""
Backing Unsafely,11,113
Bike Lane,4,60
Bus Lane,145,1794
Cell Phone,269,2590
Commercial Veh on Pkwy,239,2159
Cruising For Passengers,2,46
Disobey Traffic Control Device,2394,30097
Driving Too Slow,2,27
Equipment,367,6820
Equipment (Other),0,13
Excessive Noise,0,0
Fail to Keep Right,4,18
Fail to yield Right of Way to Pedestrian,682,4142
Failure to Signal,240,3105
Failure to yield Right of Way to Vehicle,1,9
Following Too Closely,58,539
Improper Passing,32,476
Improper Taxi Pickup,104,1397
Improper Turn,1471,12717
Improper/Missing Plates,29,251
Lamps and Other Equipment on Bicycle,0,4
Motorcycle (Other),75,835
Not Giving R of W to Veh.,12,295
Obstructed Plate,100,1568
One Way Street,148,1624
Overheight,9,91
Overlength,4,43
Overweight,1,89
Overwidth,0,0
Pavement Markings,16,140
Red Light,221,2774
School Bus,17,359
Scooter In NYC,0,0
Seat Belt,967,8082
Speeding,5642,61401
Spillback,293,5241
TBTA Rule,0,0
Tints,436,11593
TLC (Other),0,0
Truck Route,36,354
Uninspected,72,878
Uninsured,123,1399
Unlicensed Operator,578,6296
Unregistered,169,1848
Unsafe Lane Change,120,1697
Other Movers,1666,14863
TCDTOTAL Movers ,16759,187847
