"Moving Violations",,
"Midtown South Precinct",,
"     May ",,
014sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",3,11
"Brake Lights (Defect.or Improper)",21,124
"Bus Lane, Driving in",2,6
"Cell Phone",311,1123
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",81,334
"Disobey Traffic Control Device",323,1916
"Equipment (Other)",0,19
"Fail to Keep Right",0,0
"Fail to Signal",68,433
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",22,149
"Improper Lights",0,0
"Improper Passing",3,3
"Improper Turn",293,1387
"Improper/Missing Plates",19,96
"Not Giving R of W to Pedes.",227,980
"Not Giving R of W to Veh.",0,7
"OBSTRUCTED PLATE",0,0
"One Way Street",29,87
"Pavement Markings",8,35
"Safety Belt",136,626
"School Bus, Passing Stopped",1,6
Speeding,10,90
Spillback,42,306
"Tinted Windows",28,207
"Truck Routes",22,112
U-Turn,47,224
Uninspected,0,1
Uninsured,36,166
"Unlicensed Operator",31,145
Unregistered,6,63
"Unsafe Lane Change",8,103
"Other Movers",61,432
"014TOTAL Movers ",1838,9192
,,
"* All figures are preliminary and subject to change.",,
