"Moving Violations",,
"Transportation Bureau",,
"     May ",,
cotsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",6,42
"Brake Lights (Defect.or Improper)",115,483
"Bus Lane, Driving in",77,1059
"Cell Phone",574,3096
"Commercial Veh on Pkwy",130,624
"Defective Brakes",2,13
"Disobey Steady Red Signal",339,2352
"Disobey Traffic Control Device",1518,12349
"Equipment (Other)",1081,4568
"Fail to Keep Right",1,39
"Fail to Signal",196,1209
"Following Too Closely",35,240
"Headlights (Defect. or Improper)",66,158
"Improper Lights",11,43
"Improper Passing",116,436
"Improper Turn",374,2393
"Improper/Missing Plates",71,453
"Not Giving R of W to Pedes.",83,1029
"Not Giving R of W to Veh.",15,82
"OBSTRUCTED PLATE",17,17
"One Way Street",44,167
"Pavement Markings",329,1493
"Safety Belt",965,2743
"School Bus, Passing Stopped",23,367
Speeding,6820,38437
Spillback,19,94
"Tinted Windows",492,3915
"Truck Routes",18,326
U-Turn,0,14
Uninspected,155,508
Uninsured,118,723
"Unlicensed Operator",449,2398
Unregistered,154,714
"Unsafe Lane Change",89,503
"Other Movers",2033,12159
"TCDTOTAL Movers ",16535,95246
"* Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
