"Moving Violations",,
"Queens South",,
"     May ",,
pbqssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",6,42
"Brake Lights (Defect.or Improper)",78,390
"Bus Lane, Driving in",0,0
"Cell Phone",525,2409
"Commercial Veh on Pkwy",2,5
"Defective Brakes",1,2
"Disobey Steady Red Signal",324,1970
"Disobey Traffic Control Device",1553,7269
"Equipment (Other)",12,108
"Fail to Keep Right",2,8
"Fail to Signal",98,509
"Following Too Closely",2,13
"Headlights (Defect. or Improper)",30,214
"Improper Lights",46,253
"Improper Passing",17,148
"Improper Turn",888,4530
"Improper/Missing Plates",34,179
"Not Giving R of W to Pedes.",222,1184
"Not Giving R of W to Veh.",30,138
"OBSTRUCTED PLATE",15,15
"One Way Street",6,27
"Pavement Markings",56,476
"Safety Belt",844,3140
"School Bus, Passing Stopped",8,91
Speeding,410,2136
Spillback,8,27
"Tinted Windows",662,4248
"Truck Routes",12,96
U-Turn,41,237
Uninspected,38,193
Uninsured,314,1639
"Unlicensed Operator",617,3114
Unregistered,83,407
"Unsafe Lane Change",12,60
"Other Movers",585,2333
"PBQSTOTAL Movers ",7581,37610
,,
"* All figures are preliminary and subject to change.",,
