"Moving Violations",,
Bronx,,
"     May ",,
pbbxsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",22,126
"Brake Lights (Defect.or Improper)",316,1747
"Bus Lane, Driving in",8,27
"Cell Phone",708,3019
"Commercial Veh on Pkwy",8,13
"Defective Brakes",0,1
"Disobey Steady Red Signal",505,2344
"Disobey Traffic Control Device",1941,9152
"Equipment (Other)",63,280
"Fail to Keep Right",0,8
"Fail to Signal",183,987
"Following Too Closely",3,16
"Headlights (Defect. or Improper)",219,1808
"Improper Lights",1,66
"Improper Passing",20,93
"Improper Turn",1005,4570
"Improper/Missing Plates",103,552
"Not Giving R of W to Pedes.",444,2318
"Not Giving R of W to Veh.",40,150
"OBSTRUCTED PLATE",26,26
"One Way Street",30,92
"Pavement Markings",91,496
"Safety Belt",1201,3514
"School Bus, Passing Stopped",58,429
Speeding,976,4262
Spillback,25,104
"Tinted Windows",1329,8359
"Truck Routes",24,198
U-Turn,44,252
Uninspected,40,224
Uninsured,619,2722
"Unlicensed Operator",770,3531
Unregistered,186,992
"Unsafe Lane Change",51,441
"Other Movers",563,2027
"PBBXTOTAL Movers ",11622,54946
,,
"* All figures are preliminary and subject to change.",,
