107th Precinct,,
Backing Unsafely,1,5
Brake Lights (Defect.or Improper),70,426
"Bus Lane, Driving in",0,0
Cell Phone,110,593
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,176,877
Equipment (Other),0,7
Fail to Keep Right,0,1
Fail to Signal,19,29
Fail to Stop on Signal,13,106
Following Too Closely,0,0
Headlights (Defect. or Improper),16,158
Improper Lights,2,47
Improper Passing,5,19
Improper Turn,240,1373
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,14,80
Not Giving R of W to Veh.,7,51
One Way Street,2,7
Pavement Markings,40,99
Safety Belt,232,1182
"School Bus, Passing Stopped",1,11
Speeding,77,277
Spillback,0,4
Tinted Windows,66,321
Truck Routes,0,7
U-Turn,8,47
Uninspected,1,13
Uninsured,34,212
Unlicensed Operator,70,407
Unregistered,3,22
Unsafe Lane Change,0,1
Other Movers,37,222
TOTAL Movers,1244,6604
