"Moving Violations",,
"106th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",66,107
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,9
"Disobey Sign",86,170
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,1
"Fail to Stop on Signal",110,214
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,5
"Improper Lights",34,50
"Improper Passing",0,3
"Improper Turn",162,322
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",9,42
"Not Giving R of W to Veh.",8,17
"One Way Street",0,2
"Pavement Markings",11,42
"Safety Belt",105,195
"School Bus, Passing Stopped",0,2
Speeding,28,59
Spillback,1,4
"Tinted Windows",122,205
"Truck Routes",1,6
U-Turn,0,0
Uninspected,2,11
Uninsured,116,233
"Unlicensed Operator",66,118
Unregistered,14,26
"Unsafe Lane Change",3,5
"Other Movers
TOTAL Movers","27
971",60
,,1912
"* All figures are preliminary and subject to change.",,
