"Moving Violations",,
"104th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",14,34
"Bus Lane, Driving in",0,0
"Cell Phone",81,166
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",85,160
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",13,29
"Fail to Stop on Signal",37,64
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",9,23
"Improper Lights",0,0
"Improper Passing",0,4
"Improper Turn",8,13
"Improper/Missing Plates",9,19
"Not Giving R of W to Pedes.",13,47
"Not Giving R of W to Veh.",1,1
"One Way Street",2,6
"Pavement Markings",9,20
"Safety Belt",154,277
"School Bus, Passing Stopped",0,0
Speeding,18,39
Spillback,0,2
"Tinted Windows",78,190
"Truck Routes",32,65
U-Turn,3,5
Uninspected,6,23
Uninsured,40,97
"Unlicensed Operator",67,147
Unregistered,30,56
"Unsafe Lane Change",1,1
"Other Movers
TOTAL Movers","62
774",153
,,1644
"* All figures are preliminary and subject to change.",,
