"Moving Violations",,
"48th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",15,32
"Bus Lane, Driving in",0,0
"Cell Phone",70,103
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",65,118
"Equipment (Other)",0,2
"Fail to Keep Right",1,1
"Fail to Signal",97,122
"Fail to Stop on Signal",34,50
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",23,39
"Improper Lights",0,1
"Improper Passing",2,3
"Improper Turn",54,134
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",5,7
"Not Giving R of W to Veh.",0,1
"One Way Street",1,1
"Pavement Markings",28,49
"Safety Belt",27,51
"School Bus, Passing Stopped",1,2
Speeding,129,291
Spillback,9,10
"Tinted Windows",109,247
"Truck Routes",4,14
U-Turn,9,17
Uninspected,0,2
Uninsured,35,57
"Unlicensed Operator",46,100
Unregistered,14,20
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","18
797",34
,,1510
"* All figures are preliminary and subject to change.",,
