"Moving Violations",,
"68th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",28,53
"Bus Lane, Driving in",0,0
"Cell Phone",112,197
"Commercial Veh on Pkwy",3,11
"Defective Brakes",0,0
"Disobey Sign",115,211
"Equipment (Other)",0,0
"Fail to Keep Right",0,1
"Fail to Signal",8,22
"Fail to Stop on Signal",56,112
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",36,54
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",66,165
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",65,123
"Not Giving R of W to Veh.",1,2
"One Way Street",0,0
"Pavement Markings",8,17
"Safety Belt",90,183
"School Bus, Passing Stopped",0,2
Speeding,24,71
Spillback,0,6
"Tinted Windows",28,82
"Truck Routes",29,46
U-Turn,2,4
Uninspected,0,1
Uninsured,57,118
"Unlicensed Operator",43,102
Unregistered,8,15
"Unsafe Lane Change",1,2
"Other Movers
TOTAL Movers","23
805",52
,,1656
"* All figures are preliminary and subject to change.",,
