"Moving Violations",,
"69th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,8
"Brake Lights (Defect.or  Improper)",20,46
"Bus Lane, Driving in",0,0
"Cell Phone",142,299
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",69,141
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",2,2
"Fail to Stop on Signal",25,56
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",21,49
"Improper Lights",4,7
"Improper Passing",20,56
"Improper Turn",73,140
"Improper/Missing Plates",3,4
"Not Giving R of W to Pedes.",12,21
"Not Giving R of W to Veh.",7,12
"One Way Street",0,0
"Pavement Markings",24,51
"Safety Belt",143,309
"School Bus, Passing Stopped",1,1
Speeding,14,52
Spillback,0,1
"Tinted Windows",127,289
"Truck Routes",6,6
U-Turn,0,0
Uninspected,6,19
Uninsured,100,184
"Unlicensed Operator",37,80
Unregistered,15,32
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","54
931",90
,,1956
"* All figures are preliminary and subject to change.",,
