"Moving Violations",,
"49th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",42,90
"Bus Lane, Driving in",0,0
"Cell Phone",58,103
"Commercial Veh on Pkwy",1,1
"Defective Brakes",1,1
"Disobey Sign",88,163
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",78,122
"Fail to Stop on Signal",16,25
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",27,83
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",25,39
"Improper/Missing Plates",0,6
"Not Giving R of W to Pedes.",7,12
"Not Giving R of W to Veh.",3,6
"One Way Street",1,4
"Pavement Markings",44,72
"Safety Belt",131,184
"School Bus, Passing Stopped",0,1
Speeding,11,21
Spillback,0,0
"Tinted Windows",50,132
"Truck Routes",0,0
U-Turn,0,2
Uninspected,3,14
Uninsured,19,49
"Unlicensed Operator",48,114
Unregistered,10,20
"Unsafe Lane Change",0,8
"Other Movers
TOTAL Movers","2
668",6
,,1284
"* All figures are preliminary and subject to change.",,
