"Moving Violations",,
"112th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",1,4
"Bus Lane, Driving in",0,0
"Cell Phone",138,237
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",169,407
"Equipment (Other)",1,5
"Fail to Keep Right",0,0
"Fail to Signal",2,8
"Fail to Stop on Signal",40,73
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,3
"Improper Lights",0,0
"Improper Passing",2,4
"Improper Turn",11,25
"Improper/Missing Plates",1,2
"Not Giving R of W to Pedes.",56,95
"Not Giving R of W to Veh.",1,2
"One Way Street",11,20
"Pavement Markings",8,14
"Safety Belt",234,416
"School Bus, Passing Stopped",0,1
Speeding,51,92
Spillback,0,0
"Tinted Windows",53,126
"Truck Routes",5,10
U-Turn,0,0
Uninspected,2,4
Uninsured,40,87
"Unlicensed Operator",42,83
Unregistered,3,8
"Unsafe Lane Change",4,7
"Other Movers
TOTAL Movers","32
909",59
,,1797
"* All figures are preliminary and subject to change.",,
