"Moving Violations",,
"72nd Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,6
"Brake Lights (Defect.or  Improper)",7,9
"Bus Lane, Driving in",0,0
"Cell Phone",76,149
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",89,217
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",8,17
"Fail to Stop on Signal",101,184
"Following Too Closely",4,7
"Headlights (Defect. or Improper)",6,16
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",36,72
"Improper/Missing Plates",5,21
"Not Giving R of W to Pedes.",36,55
"Not Giving R of W to Veh.",5,14
"One Way Street",9,16
"Pavement Markings",80,125
"Safety Belt",55,140
"School Bus, Passing Stopped",1,9
Speeding,26,57
Spillback,1,2
"Tinted Windows",38,86
"Truck Routes",2,7
U-Turn,31,59
Uninspected,5,11
Uninsured,60,137
"Unlicensed Operator",53,130
Unregistered,16,42
"Unsafe Lane Change",9,16
"Other Movers
TOTAL Movers","47
809",122
,,1728
"* All figures are preliminary and subject to change.",,
