"Moving Violations",,
"Manhattan South",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
10","YTD 2014"
,,29
"Brake Lights (Defect.or  Improper)",281,570
"Bus Lane, Driving in",5,28
"Cell Phone",1150,2503
"Commercial Veh on Pkwy",1,1
"Defective Brakes",3,4
"Disobey Sign",1350,2959
"Equipment (Other)",59,166
"Fail to Keep Right",1,6
"Fail to Signal",167,409
"Fail to Stop on Signal",603,1200
"Following Too Closely",5,14
"Headlights (Defect. or Improper)",427,855
"Improper Lights",33,90
"Improper Passing",18,53
"Improper Turn",1223,2541
"Improper/Missing Plates",12,26
"Not Giving R of W to Pedes.",285,545
"Not Giving R of W to Veh.",17,23
"One Way Street",60,119
"Pavement Markings",249,576
"Safety Belt",924,1960
"School Bus, Passing Stopped",4,8
Speeding,50,88
Spillback,181,369
"Tinted Windows",239,457
"Truck Routes",41,133
U-Turn,65,119
Uninspected,16,33
Uninsured,323,676
"Unlicensed Operator",230,512
Unregistered,88,187
"Unsafe Lane Change",137,325
"Other Movers
TOTAL Movers","449
8706",1036
,,18620
"* All figures are preliminary and subject to change.",,
