"Moving Violations",,
"75th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
5","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",40,79
"Bus Lane, Driving in",0,0
"Cell Phone",98,188
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",65,147
"Equipment (Other)",0,11
"Fail to Keep Right",0,2
"Fail to Signal",38,87
"Fail to Stop on Signal",70,116
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",19,92
"Improper Lights",0,0
"Improper Passing",6,15
"Improper Turn",69,117
"Improper/Missing Plates",3,12
"Not Giving R of W to Pedes.",22,36
"Not Giving R of W to Veh.",12,17
"One Way Street",4,4
"Pavement Markings",55,108
"Safety Belt",174,426
"School Bus, Passing Stopped",1,1
Speeding,11,27
Spillback,2,4
"Tinted Windows",279,617
"Truck Routes",0,2
U-Turn,3,3
Uninspected,28,67
Uninsured,98,200
"Unlicensed Operator",120,244
Unregistered,56,103
"Unsafe Lane Change",3,6
"Other Movers
TOTAL Movers","512
1795",781
,,3519
"* All figures are preliminary and subject to change.",,
