"Moving Violations",,
"67th Precinct",,
February,,
"Offense Description
Backing Unsafely","MTD 2014
6","YTD 2014"
,,12
"Brake Lights (Defect.or  Improper)",39,68
"Bus Lane, Driving in",23,78
"Cell Phone",107,186
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",112,149
"Equipment (Other)",1,1
"Fail to Keep Right",1,1
"Fail to Signal",92,112
"Fail to Stop on Signal",166,263
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",28,52
"Improper Lights",0,1
"Improper Passing",5,11
"Improper Turn",93,117
"Improper/Missing Plates",6,12
"Not Giving R of W to Pedes.",27,34
"Not Giving R of W to Veh.",10,14
"One Way Street",2,3
"Pavement Markings",46,92
"Safety Belt",106,161
"School Bus, Passing Stopped",1,1
Speeding,16,62
Spillback,9,20
"Tinted Windows",249,456
"Truck Routes",5,5
U-Turn,56,98
Uninspected,11,31
Uninsured,60,165
"Unlicensed Operator",115,216
Unregistered,24,44
"Unsafe Lane Change",5,10
"Other Movers
TOTAL Movers","165
1586",260
,,2737
"* All figures are preliminary and subject to change.",,
